FECHA CARGA;HORA CARGA;FECHA TOMA;HORA TOMA;HABITACIÓN;UBICACIÓN;POSTURA;DUERME;ESCONDIDO;AUTOR;NOSOTROS
08/05/2023;0:57;07/10/2018;14:10:24;SALA;SUELO;SENTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;07/10/2018;14:10:55;SALA;SUELO;SENTADO;NO;NO;FLOR;SI
08/05/2023;0:57;07/10/2018;14:11:00;SALA;SUELO;SENTADO;NO;NO;FLOR;SI
08/05/2023;0:57;07/10/2018;14:11:22;SALA;SUELO;SENTADO;NO;NO;FLOR;NO 
08/05/2023;0:57;15/10/2018;20:21:09;SALA;SUELO;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:57;02/02/2019;18:19:56;PIEZA;CAMA;ACOSTADO;SI;NO;FLOR;NO 
08/05/2023;0:57;02/02/2019;18:20:10;PIEZA;CAMA;ACOSTADO;SI;NO;FLOR;NO 
08/05/2023;0:57;11/02/2019;3:11:12;SALA;CAJA;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:57;30/03/2019;20:30:55;SALA;SUELO;CAMINA;NO;NO;FLOR;NO 
08/05/2023;0:57;30/03/2019;20:31:38;SALA;SUELO;SENTADO;NO;NO;FLOR;NO 
08/05/2023;0:57;01/04/2019;15:01:43;PIEZA;CAMA;ACOSTADO;SI;NO;CLAUDIO;NO 
08/05/2023;0:57;03/04/2019;15:31:48;PIEZA;CAMA;ACOSTADO;SI;NO;CLAUDIO;NO 
08/05/2023;0:57;04/05/2019;13:30:40;SALA;SILLON;ACOSTADO;SI;NO;CLAUDIO;NO 
08/05/2023;0:57;04/05/2019;13:30:53;SALA;SILLON;ACOSTADO;SI;NO;CLAUDIO;NO 
08/05/2023;0:57;04/05/2019;13:31:24;SALA;SILLON;ACOSTADO;SI;NO;CLAUDIO;NO 
08/05/2023;0:57;18/05/2019;12:21:28;SALA;SUELO;CAMINA;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;23/05/2019;20:49:08;SALA;SUELO;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:57;23/05/2019;20:49:10;SALA;SUELO;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:57;31/05/2019;12:43:07;PIEZA;CAMA;SENTADO;NO;NO;FLOR;NO 
08/05/2023;0:57;31/05/2019;12:45:34;PIEZA;CAMA;SENTADO;NO;NO;FLOR;NO 
08/05/2023;0:57;04/06/2019;20:44:15;SALA;SILLON;ACOSTADO;SI;NO;FLOR;NO 
08/05/2023;0:57;13/06/2019;16:41:40;PIEZA;CAMA;CAMINA;NO;NO;FLOR;NO 
08/05/2023;0:57;27/07/2019;19:05:40;SALA;SUELO;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:57;03/09/2019;0:19:13;BAÑO;SUELO;SENTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;12/09/2019;17:29:21;PIEZA;CAMA;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:57;17/09/2019;0:08:03;SALA;SUELO;SENTADO;NO;SI;FLOR;NO 
08/05/2023;0:57;17/10/2019;0:46:33;SALA;SUELO;ACOSTADO;NO;NO;CLAUDIO;SI
08/05/2023;0:57;08/11/2019;12:48:44;PIEZA;CAMA;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:57;25/11/2019;17:48:25;PIEZA;SUELO;CAMINA;NO;SI;FLOR;NO 
08/05/2023;0:57;25/11/2019;20:38:24;PIEZA;CAMA;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;02/12/2019;12:14:36;SALA;SUELO;CAMINA;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;02/12/2019;12:42:24;SALA;SUELO;SENTADO;NO;SI;FLOR;NO 
08/05/2023;0:57;03/01/2020;12:15:56;SALA;SUELO;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:57;07/01/2020;0:51:13;PIEZA;CAMA;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:57;07/01/2020;0:51:24;PIEZA;CAMA;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:57;08/01/2020;17:44:52;PIEZA;CAMA;ACOSTADO;SI;NO;FLOR;SI
08/05/2023;0:57;29/01/2020;13:21:38;SALA;PEDESTAL;SENTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;05/03/2020;12:43:55;COCINA;SUELO;CAMINA;NO;SI;CLAUDIO;NO 
08/05/2023;0:57;09/03/2020;1:41:51;SALA;PEDESTAL;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;28/03/2020;18:41:35;PIEZA;CAMA;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;28/03/2020;18:49:07;PIEZA;CAMA;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;31/03/2020;12:09:09;PIEZA;CAMA;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:57;15/04/2020;15:27:43;PIEZA;CAMA;ACOSTADO;SI;NO;FLOR;NO 
08/05/2023;0:57;15/04/2020;15:29:44;PIEZA;CAMA;ACOSTADO;SI;NO;FLOR;NO 
08/05/2023;0:57;22/04/2020;12:53:15;COCINA;SUELO;CAMINA;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;02/05/2020;20:05:36;PIEZA;CAMA;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;04/05/2020;18:42:44;SALA;SUELO;SENTADO;NO;SI;CLAUDIO;NO 
08/05/2023;0:57;09/05/2020;21:45:57;PIEZA;CAMA;ACOSTADO;SI;NO;CLAUDIO;NO 
08/05/2023;0:57;09/05/2020;21:46:13;PIEZA;CAMA;ACOSTADO;SI;NO;CLAUDIO;NO 
08/05/2023;0:57;25/05/2020;15:02:36;SALA;SUELO;TREPA;NO;NO;FLOR;SI
08/05/2023;0:57;25/05/2020;15:03:00;SALA;SUELO;TREPA;NO;NO;FLOR;SI
08/05/2023;0:57;25/05/2020;15:03:08;SALA;SUELO;TREPA;NO;NO;FLOR;SI
20/06/2020;18:20;03/06/2020;13:33:34;SALA;SILLON;ACOSTADO;NO;NO;FLOR;NO 
20/06/2020;18:20;08/06/2020;0:13:30;SALA;PEDESTAL;ACOSTADO;NO;NO;CLAUDIO;NO 
20/06/2020;18:20;08/06/2020;20:02:47;PIEZA;CAMA;ACOSTADO;SI;NO;CLAUDIO;NO 
20/06/2020;18:20;12/06/2020;21:04:49;PIEZA;CAMA;ACOSTADO;SI;NO;CLAUDIO;NO 
20/06/2020;18:20;16/06/2020;13:46:09;SALA;SILLON;ACOSTADO;NO;NO;CLAUDIO;NO 
20/06/2020;18:20;20/06/2020;11:54:48;PIEZA;CAMA;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;22/06/2020;17:16:23;PIEZA;CAMA;ACOSTADO;SI;NO;FLOR;NO 
28/08/2020;11:07;22/06/2020;17:25:35;PIEZA;CAMA;ACOSTADO;NO;NO;CLAUDIO;NO 
28/08/2020;11:07;22/06/2020;17:25:37;PIEZA;CAMA;ACOSTADO;NO;NO;CLAUDIO;NO 
28/08/2020;11:07;22/06/2020;17:25:38;PIEZA;CAMA;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;24/06/2020;21:47:29;SALA;SUELO;SENTADO;NO;SI;CLAUDIO;NO 
28/08/2020;11:07;29/06/2020;23:59:50;SALA;SILLON;ACOSTADO;SI;NO;CLAUDIO;NO 
28/08/2020;11:07;29/06/2020;23:59:51;SALA;SILLON;ACOSTADO;SI;NO;CLAUDIO;NO 
08/05/2023;0:57;30/06/2020;17:34:44;SALA;SILLON;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:57;30/06/2020;17:36:36;SALA;SILLON;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:57;09/07/2020;4:38:12;PIEZA;CAMA;ACOSTADO;SI;NO;FLOR;NO 
08/05/2023;0:57;09/07/2020;14:00:21;SALA;SUELO;SENTADO;NO;NO;FLOR;NO 
28/08/2020;11:07;10/07/2020;20:18:05;;SILLON;ACOSTADO;NO;NO;CLAUDIO;SI
28/08/2020;11:07;10/07/2020;20:18:09;;SILLON;ACOSTADO;SI;NO;CLAUDIO;SI
28/08/2020;11:06;10/07/2020;20:18:17;;SILLON;ACOSTADO;SI;NO;CLAUDIO;NO 
28/08/2020;11:06;10/07/2020;20:18:30;;SILLON;ACOSTADO;SI;NO;FLOR;NO 
28/08/2020;11:06;10/07/2020;20:18:44;;SILLON;ACOSTADO;NO;NO;FLOR;NO 
28/08/2020;11:06;10/07/2020;20:18:52;;SILLON;ACOSTADO;NO;NO;FLOR;NO 
28/08/2020;11:06;11/07/2020;12:29:30;PIEZA;CAMA;SENTADO;NO;NO;CLAUDIO;NO 
28/08/2020;11:06;12/07/2020;15:50:23;PIEZA;CAMA;ACOSTADO;SI;NO;CLAUDIO;NO 
28/08/2020;11:06;12/07/2020;15:50:26;PIEZA;CAMA;ACOSTADO;SI;NO;CLAUDIO;NO 
28/08/2020;11:06;12/07/2020;15:50:28;PIEZA;CAMA;ACOSTADO;SI;NO;CLAUDIO;NO 
28/08/2020;11:06;12/07/2020;15:50:29;PIEZA;CAMA;ACOSTADO;SI;NO;CLAUDIO;NO 
28/08/2020;11:06;12/07/2020;23:31:41;SALA;CAMA;ACOSTADO;NO;NO;CLAUDIO;NO 
28/08/2020;11:06;12/07/2020;23:31:47;SALA;CAMA;ACOSTADO;NO;NO;CLAUDIO;NO 
28/08/2020;11:06;13/07/2020;1:22:46;SALA;CAMA;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;16/07/2020;21:16:15;SALA;CAMA;ACOSTADO;NO;NO;CLAUDIO;NO 
28/08/2020;11:06;23/07/2020;20:49:24;PIEZA;CAMA;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:57;25/07/2020;18:08:54;SALA;CAJA;ACOSTADO;NO;NO;FLOR;NO 
28/08/2020;11:06;03/08/2020;2:04:51;SALA;CAMA;SENTADO;NO;NO;CLAUDIO;NO 
28/08/2020;11:06;03/08/2020;2:04:55;SALA;CAMA;SENTADO;NO;NO;CLAUDIO;NO 
28/08/2020;11:07;17/08/2020;21:23:02;PIEZA;CAMA;ACOSTADO;SI;NO;CLAUDIO;NO 
09/09/2020;16:02;07/09/2020;0:24:09;PIEZA;CAMA;ACOSTADO;NO;NO;FLOR;NO 
08/12/2020;15:10;13/09/2020;14:35:40;SALA;CAJA;ACOSTADO;NO;NO;FLOR;NO 
08/12/2020;15:10;13/09/2020;14:35:41;SALA;CAJA;ACOSTADO;SI;NO;FLOR;NO 
08/12/2020;15:10;17/09/2020;18:32:40;PIEZA;CAMA;ACOSTADO;SI;NO;CLAUDIO;NO 
08/12/2020;15:10;22/09/2020;17:22:15;PIEZA;CAMA;ACOSTADO;SI;NO;CLAUDIO;NO 
08/12/2020;15:10;25/09/2020;20:21:13;PIEZA;CAMA;ACOSTADO;NO;NO;CLAUDIO;NO 
08/12/2020;15:10;26/09/2020;12:13:44;SALA;PEDESTAL;ACOSTADO;NO;NO;CLAUDIO;NO 
08/12/2020;15:10;26/09/2020;12:14:00;SALA;PEDESTAL;SENTADO;NO;NO;CLAUDIO;NO 
08/12/2020;15:10;26/09/2020;12:14:02;SALA;PEDESTAL;TREPA;NO;NO;CLAUDIO;NO 
08/12/2020;15:10;03/10/2020;13:53:48;PIEZA;CAMA;ACOSTADO;NO;NO;FLOR;NO 
08/12/2020;15:10;08/10/2020;19:49:14;PIEZA;CAMA;ACOSTADO;NO;NO;CLAUDIO;NO 
08/12/2020;15:10;08/10/2020;19:49:15;PIEZA;CAMA;ACOSTADO;NO;NO;CLAUDIO;NO 
08/12/2020;15:10;08/10/2020;19:49:19;PIEZA;CAMA;ACOSTADO;NO;NO;CLAUDIO;NO 
08/12/2020;15:10;08/10/2020;19:49:19;PIEZA;CAMA;ACOSTADO;NO;NO;CLAUDIO;NO 
08/12/2020;15:10;08/10/2020;19:49:21;PIEZA;CAMA;ACOSTADO;NO;NO;CLAUDIO;NO 
08/12/2020;15:10;08/10/2020;19:49:23;PIEZA;CAMA;ACOSTADO;NO;NO;CLAUDIO;NO 
